fips,state,year,share_20_34
31,Nebraska,2020,0.197154
31,Nebraska,2021,0.196447
31,Nebraska,2022,0.196084
31,Nebraska,2023,0.196534
32,Nevada,2000,0.218087
32,Nevada,2001,0.217145
32,Nevada,2002,0.215144
32,Nevada,2003,0.213194
32,Nevada,2004,0.212599
32,Nevada,2005,0.21255
32,Nevada,2006,0.212618
32,Nevada,2007,0.212321
32,Nevada,2008,0.212037
32,Nevada,2009,0.210242
32,Nevada,2010,0.207185
32,Nevada,2011,0.207661
32,Nevada,2012,0.207964
32,Nevada,2013,0.207467
32,Nevada,2014,0.20725
32,Nevada,2015,0.206618
32,Nevada,2016,0.20591
32,Nevada,2017,0.205399
32,Nevada,2018,0.204992
32,Nevada,2019,0.205171
32,Nevada,2020,0.201001
32,Nevada,2021,0.200542
32,Nevada,2022,0.200373
32,Nevada,2023,0.199251
33,New Hampshire,2000,0.184524
33,New Hampshire,2001,0.182187
33,New Hampshire,2002,0.180678
33,New Hampshire,2003,0.179679
33,New Hampshire,2004,0.177546
33,New Hampshire,2005,0.176265
33,New Hampshire,2006,0.174182
33,New Hampshire,2007,0.172815
33,New Hampshire,2008,0.172631
33,New Hampshire,2009,0.173006
33,New Hampshire,2010,0.173889
33,New Hampshire,2011,0.175816
33,New Hampshire,2012,0.178682
33,New Hampshire,2013,0.181487
33,New Hampshire,2014,0.18485
33,New Hampshire,2015,0.186708
33,New Hampshire,2016,0.18862
33,New Hampshire,2017,0.190254
33,New Hampshire,2018,0.190705
33,New Hampshire,2019,0.191781
33,New Hampshire,2020,0.189277
33,New Hampshire,2021,0.189061
33,New Hampshire,2022,0.189408
33,New Hampshire,2023,0.187894
34,New Jersey,2000,0.198013
34,New Jersey,2001,0.194855
34,New Jersey,2002,0.192659
34,New Jersey,2003,0.190868
34,New Jersey,2004,0.188934
34,New Jersey,2005,0.18707
34,New Jersey,2006,0.185521
34,New Jersey,2007,0.185212
34,New Jersey,2008,0.186043
34,New Jersey,2009,0.186915
34,New Jersey,2010,0.18755
34,New Jersey,2011,0.188432
34,New Jersey,2012,0.18917
34,New Jersey,2013,0.190176
34,New Jersey,2014,0.190604
34,New Jersey,2015,0.190532
34,New Jersey,2016,0.190568
34,New Jersey,2017,0.190801
34,New Jersey,2018,0.19042
34,New Jersey,2019,0.190318
34,New Jersey,2020,0.188069
34,New Jersey,2021,0.187982
34,New Jersey,2022,0.187223
34,New Jersey,2023,0.187184
35,New Mexico,2000,0.194718
35,New Mexico,2001,0.194596
35,New Mexico,2002,0.196405
35,New Mexico,2003,0.198297
35,New Mexico,2004,0.199812
35,New Mexico,2005,0.199534
35,New Mexico,2006,0.198823
35,New Mexico,2007,0.198594
35,New Mexico,2008,0.197728
35,New Mexico,2009,0.197912
35,New Mexico,2010,0.196995
35,New Mexico,2011,0.199426
35,New Mexico,2012,0.201932
35,New Mexico,2013,0.203907
35,New Mexico,2014,0.204483
35,New Mexico,2015,0.203862
35,New Mexico,2016,0.202953
35,New Mexico,2017,0.20161
35,New Mexico,2018,0.200049
35,New Mexico,2019,0.199532
35,New Mexico,2020,0.195029
35,New Mexico,2021,0.194943
35,New Mexico,2022,0.194584
35,New Mexico,2023,0.195053
36,New York,2000,0.210608
36,New York,2001,0.208931
36,New York,2002,0.207507
36,New York,2003,0.206696
36,New York,2004,0.205298
36,New York,2005,0.203895
36,New York,2006,0.203389
36,New York,2007,0.204322
36,New York,2008,0.206217
36,New York,2009,0.208452
36,New York,2010,0.209921
36,New York,2011,0.212366
36,New York,2012,0.213695
36,New York,2013,0.215176
36,New York,2014,0.21583
36,New York,2015,0.215307
36,New York,2016,0.214867
36,New York,2017,0.213945
36,New York,2018,0.212976
36,New York,2019,0.211966
36,New York,2020,0.208135
