fips,state,year,beer_tax_per_gal,source_url,rate_as_of
9,Connecticut,2007,0.19,https://web.archive.org/web/20070504194236/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2007"
9,Connecticut,2008,0.19,https://web.archive.org/web/20081025160909/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2008"
9,Connecticut,2010,0.19,https://web.archive.org/web/20101204030548/http://www.taxadmin.org/fta/rate/beer.pdf,"January 1, 2010"
9,Connecticut,2013,0.24,https://web.archive.org/web/20131019064212/http://www.taxadmin.org/fta/rate/beer.pdf,"January 1, 2013"
9,Connecticut,2014,0.24,https://web.archive.org/web/20140823201458/http://www.taxadmin.org/fta/rate/beer.pdf,"January 1, 2014"
9,Connecticut,2015,0.24,https://web.archive.org/web/20150412002448/http://www.taxadmin.org/fta/rate/beer.pdf,"January 1, 2015"
9,Connecticut,2016,0.24,https://web.archive.org/web/20160407141458/http://www.taxadmin.org/assets/docs/Research/Rates/beer.pdf,"January 1, 2016"
9,Connecticut,2017,0.24,https://web.archive.org/web/20171004061122/http://www.taxadmin.org/assets/docs/Research/Rates/beer.pdf,"January 1, 2017"
9,Connecticut,2020,0.24,https://web.archive.org/web/20201120035113/http://www.taxadmin.org/assets/docs/Research/Rates/beer.pdf,"January 1, 2020"
9,Connecticut,2021,0.24,https://web.archive.org/web/20210227010153/http://www.taxadmin.org/assets/docs/Research/Rates/beer.pdf,"January 1, 2021"
9,Connecticut,2022,0.24,https://web.archive.org/web/20220421124521/http://www.taxadmin.org/assets/docs/Research/Rates/beer.pdf,"January 1, 2022"
10,Delaware,2000,0.16,https://web.archive.org/web/20000325063700/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2000"
10,Delaware,2001,0.16,https://web.archive.org/web/20010302215202/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2001"
10,Delaware,2002,0.16,https://web.archive.org/web/20021223201049/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2002"
10,Delaware,2003,0.16,https://web.archive.org/web/20030416141321/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2003"
10,Delaware,2004,0.16,https://web.archive.org/web/20040603161539/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2004"
10,Delaware,2005,0.16,https://web.archive.org/web/20051223093209/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2005"
10,Delaware,2006,0.16,https://web.archive.org/web/20060420121500/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2006"
10,Delaware,2007,0.16,https://web.archive.org/web/20070504194236/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2007"
10,Delaware,2008,0.16,https://web.archive.org/web/20081025160909/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2008"
10,Delaware,2010,0.16,https://web.archive.org/web/20101204030548/http://www.taxadmin.org/fta/rate/beer.pdf,"January 1, 2010"
10,Delaware,2013,0.16,https://web.archive.org/web/20131019064212/http://www.taxadmin.org/fta/rate/beer.pdf,"January 1, 2013"
10,Delaware,2014,0.16,https://web.archive.org/web/20140823201458/http://www.taxadmin.org/fta/rate/beer.pdf,"January 1, 2014"
10,Delaware,2015,0.16,https://web.archive.org/web/20150412002448/http://www.taxadmin.org/fta/rate/beer.pdf,"January 1, 2015"
10,Delaware,2016,0.16,https://web.archive.org/web/20160407141458/http://www.taxadmin.org/assets/docs/Research/Rates/beer.pdf,"January 1, 2016"
10,Delaware,2017,0.16,https://web.archive.org/web/20171004061122/http://www.taxadmin.org/assets/docs/Research/Rates/beer.pdf,"January 1, 2017"
10,Delaware,2020,0.26,https://web.archive.org/web/20201120035113/http://www.taxadmin.org/assets/docs/Research/Rates/beer.pdf,"January 1, 2020"
10,Delaware,2021,0.26,https://web.archive.org/web/20210227010153/http://www.taxadmin.org/assets/docs/Research/Rates/beer.pdf,"January 1, 2021"
10,Delaware,2022,0.26,https://web.archive.org/web/20220421124521/http://www.taxadmin.org/assets/docs/Research/Rates/beer.pdf,"January 1, 2022"
11,District of Columbia,2000,0.09,https://web.archive.org/web/20000325063700/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2000"
11,District of Columbia,2001,0.09,https://web.archive.org/web/20010302215202/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2001"
11,District of Columbia,2002,0.09,https://web.archive.org/web/20021223201049/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2002"
11,District of Columbia,2003,0.09,https://web.archive.org/web/20030416141321/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2003"
11,District of Columbia,2004,0.09,https://web.archive.org/web/20040603161539/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2004"
11,District of Columbia,2005,0.09,https://web.archive.org/web/20051223093209/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2005"
11,District of Columbia,2006,0.09,https://web.archive.org/web/20060420121500/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2006"
11,District of Columbia,2007,0.09,https://web.archive.org/web/20070504194236/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2007"
11,District of Columbia,2008,0.09,https://web.archive.org/web/20081025160909/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2008"
11,District of Columbia,2010,0.09,https://web.archive.org/web/20101204030548/http://www.taxadmin.org/fta/rate/beer.pdf,"January 1, 2010"
11,District of Columbia,2013,0.09,https://web.archive.org/web/20131019064212/http://www.taxadmin.org/fta/rate/beer.pdf,"January 1, 2013"
11,District of Columbia,2014,0.09,https://web.archive.org/web/20140823201458/http://www.taxadmin.org/fta/rate/beer.pdf,"January 1, 2014"
11,District of Columbia,2015,0.09,https://web.archive.org/web/20150412002448/http://www.taxadmin.org/fta/rate/beer.pdf,"January 1, 2015"
11,District of Columbia,2016,0.09,https://web.archive.org/web/20160407141458/http://www.taxadmin.org/assets/docs/Research/Rates/beer.pdf,"January 1, 2016"
11,District of Columbia,2017,0.09,https://web.archive.org/web/20171004061122/http://www.taxadmin.org/assets/docs/Research/Rates/beer.pdf,"January 1, 2017"
11,District of Columbia,2020,0.09,https://web.archive.org/web/20201120035113/http://www.taxadmin.org/assets/docs/Research/Rates/beer.pdf,"January 1, 2020"
11,District of Columbia,2021,0.09,https://web.archive.org/web/20210227010153/http://www.taxadmin.org/assets/docs/Research/Rates/beer.pdf,"January 1, 2021"
11,District of Columbia,2022,0.09,https://web.archive.org/web/20220421124521/http://www.taxadmin.org/assets/docs/Research/Rates/beer.pdf,"January 1, 2022"
12,Florida,2000,0.48,https://web.archive.org/web/20000325063700/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2000"
12,Florida,2001,0.48,https://web.archive.org/web/20010302215202/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2001"
12,Florida,2002,0.48,https://web.archive.org/web/20021223201049/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2002"
12,Florida,2003,0.48,https://web.archive.org/web/20030416141321/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2003"
12,Florida,2004,0.48,https://web.archive.org/web/20040603161539/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2004"
12,Florida,2005,0.48,https://web.archive.org/web/20051223093209/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2005"
12,Florida,2006,0.48,https://web.archive.org/web/20060420121500/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2006"
12,Florida,2007,0.48,https://web.archive.org/web/20070504194236/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2007"
12,Florida,2008,0.48,https://web.archive.org/web/20081025160909/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2008"
12,Florida,2010,0.48,https://web.archive.org/web/20101204030548/http://www.taxadmin.org/fta/rate/beer.pdf,"January 1, 2010"
12,Florida,2013,0.48,https://web.archive.org/web/20131019064212/http://www.taxadmin.org/fta/rate/beer.pdf,"January 1, 2013"
12,Florida,2014,0.48,https://web.archive.org/web/20140823201458/http://www.taxadmin.org/fta/rate/beer.pdf,"January 1, 2014"
12,Florida,2015,0.48,https://web.archive.org/web/20150412002448/http://www.taxadmin.org/fta/rate/beer.pdf,"January 1, 2015"
12,Florida,2016,0.48,https://web.archive.org/web/20160407141458/http://www.taxadmin.org/assets/docs/Research/Rates/beer.pdf,"January 1, 2016"
12,Florida,2017,0.48,https://web.archive.org/web/20171004061122/http://www.taxadmin.org/assets/docs/Research/Rates/beer.pdf,"January 1, 2017"
12,Florida,2020,0.48,https://web.archive.org/web/20201120035113/http://www.taxadmin.org/assets/docs/Research/Rates/beer.pdf,"January 1, 2020"
12,Florida,2021,0.48,https://web.archive.org/web/20210227010153/http://www.taxadmin.org/assets/docs/Research/Rates/beer.pdf,"January 1, 2021"
12,Florida,2022,0.48,https://web.archive.org/web/20220421124521/http://www.taxadmin.org/assets/docs/Research/Rates/beer.pdf,"January 1, 2022"
13,Georgia,2000,0.48,https://web.archive.org/web/20000325063700/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2000"
13,Georgia,2001,0.48,https://web.archive.org/web/20010302215202/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2001"
13,Georgia,2002,0.48,https://web.archive.org/web/20021223201049/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2002"
13,Georgia,2003,0.48,https://web.archive.org/web/20030416141321/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2003"
13,Georgia,2004,0.48,https://web.archive.org/web/20040603161539/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2004"
13,Georgia,2005,0.48,https://web.archive.org/web/20051223093209/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2005"
