fips,state,estimator,year,gap
41,Oregon,classic_scm,2013,-0.000285614804604872
41,Oregon,classic_scm,2014,0.00862810577514228
41,Oregon,classic_scm,2015,0.0129180436959448
41,Oregon,classic_scm,2016,0.029091470983313
41,Oregon,classic_scm,2017,0.0325593347622599
41,Oregon,classic_scm,2018,0.0259612228904278
41,Oregon,classic_scm,2019,0.00821217831767274
41,Oregon,ridge_ascm,2000,-0.0228674466479837
41,Oregon,ridge_ascm,2001,-0.000812998406666043
41,Oregon,ridge_ascm,2002,0.0124744130227149
41,Oregon,ridge_ascm,2003,-0.0129684013406693
41,Oregon,ridge_ascm,2004,0.00639163043967406
41,Oregon,ridge_ascm,2005,-0.0147028256107591
41,Oregon,ridge_ascm,2006,0.0243399895160712
41,Oregon,ridge_ascm,2007,0.0310373473100174
41,Oregon,ridge_ascm,2008,-0.0201021353878692
41,Oregon,ridge_ascm,2009,0.00785724066477167
41,Oregon,ridge_ascm,2010,-0.0124969513891819
41,Oregon,ridge_ascm,2011,-0.00317638350026983
41,Oregon,ridge_ascm,2012,-0.00461027920614177
41,Oregon,ridge_ascm,2013,-0.000319928842122286
41,Oregon,ridge_ascm,2014,0.00858650311388876
41,Oregon,ridge_ascm,2015,0.0128821041504397
41,Oregon,ridge_ascm,2016,0.0290571825398063
41,Oregon,ridge_ascm,2017,0.0325216753967044
41,Oregon,ridge_ascm,2018,0.0259138185386154
41,Oregon,ridge_ascm,2019,0.00816357676264712
53,Washington,classic_scm,2000,-0.0152635087022105
53,Washington,classic_scm,2001,0.00318618688049677
53,Washington,classic_scm,2002,-0.00101558986577011
53,Washington,classic_scm,2003,-0.00897423320617963
53,Washington,classic_scm,2004,0.0128849391906086
53,Washington,classic_scm,2005,0.026231599175917
53,Washington,classic_scm,2006,-0.0209223643855957
53,Washington,classic_scm,2007,0.0178791535757102
53,Washington,classic_scm,2008,0.011350916140458
53,Washington,classic_scm,2009,0.0207641521520193
53,Washington,classic_scm,2010,-0.00606679349612727
53,Washington,classic_scm,2011,-0.00672473604231449
53,Washington,classic_scm,2012,-0.0170833329134599
53,Washington,classic_scm,2013,-0.0152848488754734
53,Washington,classic_scm,2014,-0.0153624135070132
53,Washington,classic_scm,2015,-0.00858327507995438
53,Washington,classic_scm,2016,-0.0132390731540163
53,Washington,classic_scm,2017,-0.0248994908974597
53,Washington,classic_scm,2018,-0.0174770437592817
53,Washington,classic_scm,2019,-0.0248978444426115
53,Washington,ridge_ascm,2000,-0.0141390579419207
53,Washington,ridge_ascm,2001,0.00313252308078593
53,Washington,ridge_ascm,2002,-0.000493121878423097
53,Washington,ridge_ascm,2003,-0.00356945675232345
53,Washington,ridge_ascm,2004,0.00693559946975186
53,Washington,ridge_ascm,2005,0.0180797674868044
53,Washington,ridge_ascm,2006,-0.0206699168883073
53,Washington,ridge_ascm,2007,0.0111385001621193
53,Washington,ridge_ascm,2008,0.00746055813280733
53,Washington,ridge_ascm,2009,0.0174638659523977
53,Washington,ridge_ascm,2010,-0.00610664548542095
53,Washington,ridge_ascm,2011,-0.000518397792435232
53,Washington,ridge_ascm,2012,-0.00976910215864579
53,Washington,ridge_ascm,2013,-0.0085441052156704
53,Washington,ridge_ascm,2014,-0.00958552651731914
53,Washington,ridge_ascm,2015,-0.0024743570160326
53,Washington,ridge_ascm,2016,-0.0116934313179259
53,Washington,ridge_ascm,2017,-0.0232713141077562
53,Washington,ridge_ascm,2018,-0.0125821292179624
53,Washington,ridge_ascm,2019,-0.0199324808484068
